"Footprint pattern","Correction"
"^C_0603_1608Metric$","0"
"^C_0805_2012Metric$","0"
"^C_1210_3225Metric$","0"
"^C_2220_5650Metric$","0"
"^CP_Elec_6\.3x4\.9$","0"
"^D_0603_1608Metric$","0"
"^D_SMA$","0"
"^D_SOD-123$","0"
"^GCT_MEM2051-00-195-00-A$","90"
"^MODULE_SC0915$","270"
"^PinHeader_1x04_P2\.54mm_Vertical$","90"
"^PinHeader_1x05_P2\.54mm_Vertical$","90"
"^PowerPAK_SO-8_Single$","0"
"^R_0603_1608Metric$","0"
"^R_1206_3216Metric$","0"
"^R_1210_3225Metric$","0"
"^SI7489DP-T1-E3$","270"
"^SOP65P640X110-16N$","270"
"^SOP65P640X120-16N$","270"
"^SOT-223-3_TabPin2$","180"
"^SOT-23$","180"
